street,suburb,state,vendor,lat,lon,days_on_site,amenities,bathrooms,cellars,num_floors,monthly_fee_mxn,parking_lots,beds,department_type,m2,final_price,price_square_meter
Sinaloa 20 ," Roma Sur, Roma Sur, Cuauhtémoc", Distrito Federal,Investemx,19.4213173,-99.1641821,5,3,2,0,1,0,2,2,apt,127,9000000,70866.14
Tonala," Roma Norte, Cuauhtémoc", Distrito Federal,Avitana,19.4210293,-99.1635414,7,2,1,0,0,0,1,1,apt,54,4264000,78962.96
Tepeji 43," Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc", Distrito Federal,Ebranuncios,19.4078138,-99.1618723,4,0,3,2,3,0,2,3,apt,163,8093500,49653.37
Linares," Roma Sur, Cuauhtémoc", Distrito Federal,Houm,19.404992,-99.1602428,150,2,2,0,0,853,1,2,Loft,93,4000000,43010.75
Frontera," Roma Norte, Cuauhtémoc", Distrito Federal,Contactobienesraicesgold,19.4196927,-99.1560364,52,4,2,0,0,0,1,2,apt,103,6732700,65366.02
Chilpancingo," Roma Sur, Cuauhtémoc", Distrito Federal,Lidialopeza ,19.4030201,-99.1687004,120,3,1,0,0,0,1,2,apt,67,3200000,47761.19
Sinaloa 20 ," Roma Norte, Cuauhtémoc", Distrito Federal,Investemx,19.4213173,-99.1641821,18,3,2,0,1,0,2,2,apt,127,9000000,70866.14
Roma Sur, Cuauhtémoc, Distrito Federal,Neximo,19.4111979,-99.1649286,31,0,2,0,0,0,1,2,apt,112,5550000,49553.57
Colima," Roma Norte, Cuauhtémoc", Distrito Federal,Houm,19.4210727,-99.1557975,150,3,2,0,0,0,2,3,Loft,154,10592361,68781.56
Cuauhtemoc," Roma Norte, Cuauhtémoc", Distrito Federal,Balinter,19.4193053,-99.1538106,55,4,2,0,0,0,2,2,apt,100,5300000,53000
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,163,10200000,62576.69
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,180,11050000,61388.89
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,157,9880000,62929.94
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,111,7010000,63153.15
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,112,6790000,60625
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,149,9670000,64899.33
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0,2,3,apt,114,7332973,64324.32
