street,suburb,state,vendor,lat,lon,days_on_site,amenities,bathrooms,cellars,num_floors,monthly_fee_mxn,parking_lots,beds,department_type,m2,final_price,price_square_meter
Sinaloa 20 ," Roma Sur, Roma Sur, Cuauhtémoc", Distrito Federal,Investemx,19.4213173,-99.1641821,5,3,2,0,1,0.00,2,2,apt,127.00,9000000.00,70866.14
Tonala," Roma Norte, Cuauhtémoc", Distrito Federal,Avitana,19.4210293,-99.1635414,7,2,1,0,0,0.00,1,1,apt,54.00,4264000.00,78962.96
Tepeji 43," Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc", Distrito Federal,Ebranuncios,19.4078138,-99.1618723,4,0,3,2,3,0.00,2,3,apt,163.00,8093500.00,49653.37
Linares," Roma Sur, Cuauhtémoc", Distrito Federal,Houm,19.404992,-99.1602428,150,2,2,0,0,853.00,1,2,Loft,93.00,4000000.00,43010.75
Frontera," Roma Norte, Cuauhtémoc", Distrito Federal,Contactobienesraicesgold,19.4196927,-99.1560364,52,4,2,0,0,0.00,1,2,apt,103.00,6732700.00,65366.02
Chilpancingo," Roma Sur, Cuauhtémoc", Distrito Federal,Lidialopeza ,19.4030201,-99.1687004,120,3,1,0,0,0.00,1,2,apt,67.00,3200000.00,47761.19
Sinaloa 20 ," Roma Norte, Cuauhtémoc", Distrito Federal,Investemx,19.4213173,-99.1641821,18,3,2,0,1,0.00,2,2,apt,127.00,9000000.00,70866.14
Roma Sur, Cuauhtémoc, Distrito Federal,Neximo,19.4111979,-99.1649286,31,0,2,0,0,0.00,1,2,apt,112.00,5550000.00,49553.57
Colima," Roma Norte, Cuauhtémoc", Distrito Federal,Houm,19.4210727,-99.1557975,150,3,2,0,0,0.00,2,3,Loft,154.00,10592361.00,68781.56
Cuauhtemoc," Roma Norte, Cuauhtémoc", Distrito Federal,Balinter,19.4193053,-99.1538106,55,4,2,0,0,0.00,2,2,apt,100.00,5300000.00,53000.00
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,163.00,10200000.00,62576.69
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,180.00,11050000.00,61388.89
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,157.00,9880000.00,62929.94
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,111.00,7010000.00,63153.15
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,112.00,6790000.00,60625.00
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,149.00,9670000.00,64899.33
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,5,2,0,0,0.00,2,3,apt,114.00,7332973.00,64324.32
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,4,2,0,0,0.00,1,2,apt,145.00,9859115.00,67993.90
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0.00,1,1,apt,41.00,3382500.00,82500.00
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0.00,1,1,apt,54.00,4515000.00,83611.11
Roma Norte, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4195256,-99.162549,4,2,1,0,0,0.00,1,1,apt,56.00,4496000.00,80285.71
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0.00,1,1,apt,63.00,5257500.00,83452.38
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0.00,1,1,apt,49.00,4102500.00,83724.49
Roma Sur, Cuauhtémoc, Distrito Federal,Incitybienesraices,19.4043698,-99.1636062,4,2,1,0,0,0.00,1,1,apt,38.00,3195000.00,84078.95
Viaducto Miguel Alemán," Roma Sur, Cuauhtémoc", Distrito Federal,Jrasesores,19.4020904,-99.1626636,6,4,2,0,0,0.00,1,2,apt,84.00,4061500.00,48351.19
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4127205,-99.1547904,7,0,1,0,0,0.00,1,1,apt,48.00,3306533.00,68886.10
Querétaro," Roma Norte, Cuauhtémoc", Distrito Federal,Inmobiliariahaz,19.4136591,-99.1653045,3,4,2,0,0,0.00,1,2,apt,89.00,5399999.00,60674.15
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,3,1,0,0,0.00,1,2,apt,67.00,4314445.00,64394.70
Aguascalientes," Roma Sur, Cuauhtémoc", Distrito Federal,Habitare Luxury Living,19.4090847,-99.1643185,3,4,2,0,0,0.00,1,2,apt,74.00,4996100.00,67514.86
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4052747,-99.1690454,7,0,2,0,0,0.00,1,2,apt,91.00,4850000.00,53296.70
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0.00,1,1,apt,45.00,3615970.00,80354.89
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4184344,-99.1558187,7,0,1,0,0,800.00,1,1,apt,60.00,3395000.00,56583.33
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,3,apt,86.00,4495000.00,52267.44
Roma Norte, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.4195256,-99.162549,7,0,2,0,0,0.00,1,2,apt,81.00,5292000.00,65333.33
Av Chapultepec," Roma Norte, Cuauhtémoc", Distrito Federal,Aire Y Acero Inmobiliaria,19.418153,-99.1652014,8,0,1,1,1,0.00,1,1,apt,37.00,2792170.00,75464.05
Roma Sur, Cuauhtémoc, Distrito Federal,Rent A House Cdmx,19.405299,-99.1649891,7,0,1,0,0,0.00,1,1,apt,48.00,3034124.00,63210.92
